                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.6535,                 2.2908,                  1.733,                0.31758,                0.36579,                 0.3045,                0.24898,                 1.8916,                  2.872,                 2.0101,               0.009373,               0.009373,               0.009373
                     21,                 1.6505,                 2.2498,                 1.7324,                0.45353,                0.39525,                0.39318,                0.33858,                 1.9041,                 2.3929,                 1.9556,                0.00934,                0.00934,                0.00934
                     22,                 1.6419,                 2.2685,                 1.7148,                0.46233,                  0.414,                0.42177,                0.36533,                 1.7981,                  2.238,                 1.8959,               0.009307,               0.009307,               0.009307
                     23,                 1.6338,                  2.225,                 1.7038,                0.45999,                0.46596,                 0.4462,                0.38778,                 1.7962,                 2.1676,                 1.8783,               0.009274,               0.009274,               0.009274
                     24,                 1.6249,                 2.2053,                 1.6958,                0.46193,                0.43571,                0.43526,                0.38322,                 1.7582,                 2.1801,                 1.8657,               0.009241,               0.009241,               0.009241
                     25,                 1.6204,                 2.2027,                 1.6939,                0.50208,                0.41676,                0.42441,                 0.3739,                 1.7808,                 2.2594,                 1.8764,               0.009208,               0.009208,               0.009208
                     26,                 1.6105,                 2.1822,                 1.6902,                0.49198,                0.42749,                0.43219,                0.38479,                 1.7666,                 2.2096,                 1.8673,               0.009175,               0.009175,               0.009175
                     27,                  1.615,                 2.1669,                 1.6822,                0.51704,                0.45837,                0.47141,                0.42035,                 1.7638,                 2.0943,                 1.8632,               0.009142,               0.009142,               0.009142
                     28,                 1.6008,                 2.1333,                 1.6758,                0.39042,                0.44408,                0.39999,                0.35004,                 1.8265,                 2.2915,                 1.9418,               0.009109,               0.009109,               0.009109
                     29,                 1.5903,                 2.1425,                 1.6766,                0.36811,                0.37299,                0.30966,                0.26369,                 1.8983,                 2.8402,                 1.9888,               0.009076,               0.009076,               0.009076
                     30,                 1.5859,                 2.0928,                 1.6652,                0.45364,                0.45359,                0.46205,                0.40895,                 1.7847,                 2.1216,                 1.8991,               0.009043,               0.009043,               0.009043
