                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                   1.39,                 1.6306,                   1.48,                0.61764,                0.57094,                0.61028,                0.56019,                 1.5779,                  1.598,                 1.6899,               0.006403,               0.006403,               0.006403
                    111,                 1.3809,                 1.6257,                 1.4817,                0.61655,                0.59411,                0.61925,                0.57075,                 1.5837,                 1.5705,                 1.6869,                0.00637,                0.00637,                0.00637
                    112,                 1.3743,                 1.6012,                 1.4782,                0.55222,                 0.5914,                0.58728,                0.53417,                 1.5781,                 1.6389,                 1.6858,               0.006337,               0.006337,               0.006337
                    113,                 1.3898,                 1.6111,                   1.48,                0.61825,                0.55384,                0.60502,                0.54772,                 1.6129,                 1.6194,                 1.7019,               0.006304,               0.006304,               0.006304
                    114,                 1.3835,                 1.6064,                 1.4825,                0.59892,                0.60042,                0.61833,                0.56563,                 1.6065,                 1.6003,                 1.6953,               0.006271,               0.006271,               0.006271
                    115,                 1.3776,                 1.6026,                 1.4755,                 0.6259,                0.59431,                0.62607,                0.57002,                 1.6108,                  1.589,                 1.6962,               0.006238,               0.006238,               0.006238
                    116,                 1.3824,                  1.609,                 1.4788,                0.62469,                0.58059,                0.60758,                0.55394,                 1.5992,                 1.6082,                 1.6946,               0.006205,               0.006205,               0.006205
                    117,                 1.3666,                 1.5756,                 1.4693,                0.56114,                0.62466,                0.62215,                0.56967,                 1.5806,                 1.5808,                 1.6848,               0.006172,               0.006172,               0.006172
                    118,                  1.376,                 1.5916,                 1.4716,                 0.6199,                0.58607,                0.61539,                0.56452,                 1.6019,                 1.5947,                 1.7013,               0.006139,               0.006139,               0.006139
                    119,                 1.3719,                 1.5979,                 1.4802,                0.63644,                0.59322,                0.62257,                0.56826,                 1.5816,                 1.5992,                 1.6832,               0.006106,               0.006106,               0.006106
                    120,                 1.3607,                 1.5737,                 1.4668,                0.59697,                0.59581,                0.62256,                0.56519,                 1.5942,                 1.6043,                 1.6975,               0.006073,               0.006073,               0.006073
                    121,                 1.3557,                 1.5665,                 1.4605,                0.61122,                0.59471,                0.62343,                0.56704,                 1.6112,                 1.5879,                  1.698,                0.00604,                0.00604,                0.00604
                    122,                 1.3936,                 1.6009,                 1.4824,                0.61342,                0.57717,                0.62268,                0.56845,                 1.5859,                 1.5839,                 1.6902,               0.006007,               0.006007,               0.006007
